report_date,governorate,city,longitude,latitude,issue_type,report_headline,report_detail,text_length,report_category,proximity_to_service,repetition_flag,report_truth
2026-03-24,Suez,El Arbaeen,32.492126,29.925983,electricity,[Follow-up] Power Outage,"Still not resolved, I reported this last week: Repeated outages every night since last week at Street 27.",130,citizen,1,1,Repeated
2026-01-18,Red Sea,Hurghada,33.846163,27.267699,road_damage,Road Collapse,Road is flooded and completely impassable near Building 54.,73,citizen,0,0,True
2025-09-28,Qalyubia,Shubra El Kheima,31.197588,30.265554,water,Contaminated Water,Sewage water is flooding the entrance of Street 92.,70,citizen,1,0,True
2025-08-20,Red Sea,Marsa Alam,33.844331,27.270276,telecom,Cable Cut,The entire building at Building 30 has no internet since yesterday.,77,citizen,0,0,True
2025-05-17,Dakahlia,Mit Ghamr,31.412991,31.063628,gas_issue,Gas Smell,Neighbors are evacuating due to the strong gas odor.,62,citizen,1,0,True
2025-05-15,Sohag,Sohag City,31.620836,26.515648,gas_issue,Valve Damage,A very strong smell of gas detected at Building 52. Everything is broken.,86,citizen,1,0,True
2026-03-16,Suez,El Arbaeen,32.538349,30.006322,water,Sewage Overflow,The water smells terrible and is brown in color.,64,citizen,1,0,True
2025-04-25,Minya,Beni Mazar,30.731863,28.125325,water,Sewage Overflow,"Water pressure is extremely low, nothing comes from the tap.",76,citizen,1,0,True
2026-01-21,Dakahlia,Mansoura,31.326005,31.00336,telecom,Phone Line Dead,I heard rumors about the entire building at Building 34 has no internet since yesterday. although my neighbor disagrees.,136,citizen,0,0,False
2026-03-05,Cairo,Zamalek,31.158816,30.016265,road_damage,Road Collapse,A large pothole on Street 93 is damaging vehicles. This is a total mess.,86,business,1,0,True
2025-09-17,Alexandria,El Mandara,29.926669,31.196145,water,Contaminated Water,Main supply line is leaking heavily near the valve. Immediate danger — residents are evacuating.,115,business,1,0,Emergency
2025-06-12,Luxor,Esna,32.595552,25.626561,waste_garbage,[Follow-up] Health Hazard Waste,I reported this before but it was not fixed: Mountains of waste blocking the pavement on Street 87.,131,citizen,1,1,Repeated
2025-06-21,Cairo,Maadi,31.160726,29.975184,telecom,Phone Line Dead,A cable appears to have been cut near Street 85.,64,citizen,1,0,True
2025-05-14,Minya,Beni Mazar,30.685809,28.060366,waste_garbage,Trash Accumulation,Dead carcass in the middle of the road causing a health risk.,80,citizen,1,0,True
2025-07-02,Minya,Minya City,30.700733,28.069685,gas_issue,!!! CRITICAL !!! - Pressure Drop,CRITICAL!! The main gas meter is making a loud whistling sound.,96,citizen,1,0,Emergency
